ag_code,MASTER AGENT
1,PACIFIC DELTA SHIPPING PVT LTD
2,M/S NYK LINE PAKISTAN LTD
3,EAST WIND SHIPPING COMPANY (PVT) LIMITED
4,INSERVEY PAKISTAN (PRIVATE) LIMITED
5,RIAZEDA PRIVATE LTD
6,MSC AGENCY PAKISTAN (PRIVATE) LIMITED
7,UNITED ARAB SHIPPING AGENCY COMPANY PAKISTAN (PVT.) LIMITED
8,X-PRESS FEEDERS PAKISTAN (PVT.) LIMITED
9,MITSUI O.S.K LINES PAKISTAN (PRIVATE) LIMITED
10,GREENPAK SHIPPING (PVT) LTD
11,INTERLINE SHIPPING (PVT) LTD
12,UNITED MARINE AGENCIES (PRIVATE) LIMITED
13,APL PAKISTAN (PRIVATE) LIMITED
14,MEGATRANS PAKISTAN (PRIVATE) LIMITED
15,OOCL PAKISTAN (PRIVATE) LIMITED
16,INSHIPPING (PRIVATE) LIMITED
17,MAERSK PAKISTAN (PRIVATE) LIMITED
18,DELTA TRANSPORT (PVT) LIMITED
19,CMA CGM PAKISTAN (PRIVATE) LIMITED
20,GOLDEN SHIPPING LINES (PRIVATE) LIMITED
21,UNIVERSAL SHIPPING (PRIVATE) LIMITED
22,COSCO SAEED KARACHI PVT.LTD.
23,SWIFT SHIPPING (PVT) LTD
